Class,Precision,Recall,F1-Score,Support
NORM,0.7847490347490348,0.8442367601246106,0.8134067033516759,963.0
MI,0.6169014084507042,0.4025735294117647,0.4872080088987764,544.0
STTC,0.43356643356643354,0.6549295774647887,0.5217391304347826,284.0
CD,0.5540540540540541,0.3346938775510204,0.4173027989821883,245.0
HYP,0.3526315789473684,0.5491803278688525,0.42948717948717946,122.0
