Model,Feature Set,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,ROC-AUC,Training Time (s)
DecisionTree,top200,0.6158480074142725,0.5196373704569142,0.6135079592743656,0.5229271329045382,0.5169616380791817,0.4573731887494583,172.14982795715332
RandomForest,top200,0.7428174235403151,0.6391198326397038,0.731569756351712,0.6883880567349989,0.6107132289996066,0.4647926276077025,525.7597711086273
NaiveBayes,top200,0.6691380908248378,0.5643211223524947,0.6580042724194971,0.589933610804819,0.5686765718241252,0.39664649602245144,1.9462108612060547
SVM,top200,0.705746061167748,0.616751257594759,0.7093908342335645,0.6104758730315354,0.6252494213068637,0.4453683864514627,31814.253073453903
