Model,Feature Set,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,ROC-AUC,Training Time (s)
DecisionTree,top100,0.6005560704355886,0.4866519858374739,0.5975146966773495,0.48849884745238636,0.48564333875893,0.46092376059777,103.4774796962738
RandomForest,top100,0.7386468952734013,0.6337785090299376,0.7273291034420518,0.682535859137966,0.6066821147110584,0.4621842671255827,459.0889549255371
NaiveBayes,top100,0.654772937905468,0.5498396194276837,0.6437981473109619,0.5639599419926206,0.5625689344888058,0.39031191419453093,1.1315340995788574
SVM,top100,0.6774791473586654,0.6026737578768093,0.6874531375076736,0.5887874972230847,0.6287330448827244,0.43569933104380604,12088.064645290375
