Class,Precision,Recall,F1-Score,Support
NORM,0.7415078707539354,0.9293873312564901,0.8248847926267281,963.0
MI,0.7625418060200669,0.41911764705882354,0.5409252669039146,544.0
STTC,0.46846846846846846,0.5492957746478874,0.5056726094003241,284.0
CD,0.5611111111111111,0.4122448979591837,0.4752941176470588,245.0
HYP,0.37410071942446044,0.4262295081967213,0.39846743295019155,122.0
