Class,Precision,Recall,F1-Score,Support
NORM,0.7924028268551236,0.9314641744548287,0.8563245823389022,963.0
MI,0.7802874743326489,0.6985294117647058,0.7371483996120272,544.0
STTC,0.6319444444444444,0.6408450704225352,0.6363636363636364,284.0
CD,0.7604790419161677,0.5183673469387755,0.616504854368932,245.0
HYP,0.5952380952380952,0.4098360655737705,0.4854368932038835,122.0
