Model,Feature Set,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,ROC-AUC,Training Time (s)
DecisionTree,top50,0.6130676552363299,0.49667334847821965,0.6085795639794436,0.5037117840159911,0.4919431773224304,0.4552857036735678,
RandomForest,top50,0.731696014828545,0.6345444546900583,0.7208584523007471,0.68020950337985,0.6084984989650601,0.46384842939791343,
NaiveBayes,top50,0.6334569045412419,0.5338287642309205,0.6261178623077611,0.548380501953519,0.5571228144842074,0.3807827010159056,
SVM,top50,0.6464318813716404,0.5786583666498779,0.6612110167150825,0.566692707240914,0.6189999095741087,0.43140773272747673,6037.093902349472
