Class,Precision,Recall,F1-Score,Support
NORM,0.8303850156087409,0.8286604361370716,0.8295218295218295,963.0
MI,0.7857142857142857,0.5459558823529411,0.6442516268980477,544.0
STTC,0.5051546391752577,0.6901408450704225,0.5833333333333334,284.0
CD,0.5450980392156862,0.5673469387755102,0.556,245.0
HYP,0.3693181818181818,0.5327868852459017,0.436241610738255,122.0
