Model,Feature Set,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,ROC-AUC,Training Time (s)
DecisionTree,top50,0.6621872103799815,0.5823040475083268,0.6669458859572244,0.5790407460926659,0.6029362358271405,0.45697062495106955,
RandomForest,top50,0.7377201112140871,0.6443034049921273,0.7295108573246827,0.6849259182687828,0.6240439475863497,0.4630997728408063,
NaiveBayes,top50,0.6552363299351252,0.5307624107481992,0.6330104714298024,0.5735668459597012,0.5284994947426228,0.4406381309741336,
SVM,top50,0.6927710843373494,0.6098696800982932,0.6971318582200156,0.6071340323064305,0.6329781975163694,0.46245450045701286,
