Class,Precision,Recall,F1-Score,Support
NORM,0.7723367697594502,0.9335410176531672,0.845322049835449,963.0
MI,0.7743271221532091,0.6875,0.7283349561830574,544.0
STTC,0.6174242424242424,0.573943661971831,0.5948905109489051,284.0
CD,0.7469879518072289,0.5061224489795918,0.6034063260340633,245.0
HYP,0.5308641975308642,0.3524590163934426,0.4236453201970443,122.0
