Class,Precision,Recall,F1-Score,Support
NORM,0.7633187772925765,0.9075804776739356,0.8292220113851992,963.0
MI,0.7539936102236422,0.4338235294117647,0.5507584597432905,544.0
STTC,0.4609164420485175,0.602112676056338,0.5221374045801527,284.0
CD,0.5888888888888889,0.4326530612244898,0.4988235294117647,245.0
HYP,0.3825503355704698,0.4672131147540984,0.42066420664206644,122.0
