Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Random Forest,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
SVM,0.5908248378127896,0.7106095098262102,0.7898869910167425,0.7461255098297059,0.9217090587932641
Naive Bayes,0.47451343836886006,0.5774071519247246,0.7105101204940774,0.6328820472027764,0.8468739714554105
Logistic Regression,0.5018535681186284,0.6548015841648975,0.8008993085761634,0.7116622001386232,0.9058553496534518
