Class,Precision,Recall,F1-Score,Support
NORM,0.7529880478087649,0.7850467289719626,0.7686832740213523,963.0
MI,0.5628517823639775,0.5514705882352942,0.5571030640668524,544.0
STTC,0.38996138996138996,0.35563380281690143,0.3720073664825046,284.0
CD,0.4260869565217391,0.4,0.4126315789473684,245.0
HYP,0.3106060606060606,0.3360655737704918,0.3228346456692913,122.0
