Model,Feature Set,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,ROC-AUC,Training Time (s)
DecisionTree,top200,0.6626506024096386,0.5826912187847175,0.6694753420854249,0.5789927243073967,0.608603044226068,0.462424126659998,
RandomForest,top200,0.758109360518999,0.6663556731774762,0.749139742910028,0.7120703765572959,0.6398084138309231,0.46331834817268314,857.1743903160095
NaiveBayes,top200,0.6635773864689527,0.5490488439056435,0.6474969912921286,0.5815459951556086,0.5472550318238212,0.4213440019391996,
SVM,top200,0.7173308619091752,0.6438322802237015,0.7238736917011227,0.6346651537495276,0.6657921067443053,0.46669295561457724,
