Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
RF + Top-50,0.5532900834105653,0.6764115144767258,0.7652527218429889,0.7152938032951023,0.9038150683114307
RF + Top-100,0.5843373493975904,0.7129404214578725,0.7368027983188077,0.7238940520794989,0.9085912677169381
RF + Top-200,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
RF + Top-200 + Ensemble,0.5449490268767377,0.6841494937040744,0.7858994336767319,0.7227776395353473,0.9149248189904758
