Model,Feature Set,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,ROC-AUC,Training Time (s)
DecisionTree,top100,0.6640407784986099,0.5886881144448142,0.6706728087423719,0.5907751779799345,0.6155886830909688,0.46216171006093754,
RandomForest,top100,0.7465245597775718,0.6526736852445655,0.7397602470442125,0.687176297280381,0.6325989329607813,0.46755642978007667,540.6596398353577
NaiveBayes,top100,0.6663577386468953,0.5474680619595625,0.6485198481344244,0.5882579501180184,0.5423777799497221,0.42142438327733905,
SVM,top100,0.7117701575532901,0.6369072129390837,0.7174512473423752,0.627825140718502,0.6622512213226807,0.47169074304302683,
