Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
SVM (All Features),0.5685820203892493,0.7116023572011483,0.7654266782136734,0.7357599950096276,0.9203180456706406
SVM (Top-200),0.5908248378127896,0.7106095098262102,0.7898869910167425,0.7461255098297059,0.9217090587932641
