Class,Threshold,Precision,Recall,F1
NORM,0.29999999999999993,0.7926720285969616,0.9210799584631361,0.8520653218059558
MI,0.44999999999999984,0.7490636704119851,0.7272727272727273,0.7380073800738007
STTC,0.45999999999999985,0.692436974789916,0.7907869481765835,0.7383512544802867
CD,0.44999999999999984,0.7687224669603524,0.7036290322580645,0.7347368421052631
HYP,0.4299999999999998,0.5622895622895623,0.6374045801526718,0.5974955277280859
