Model,Approach,Features,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Random Forest,Class-Weight,Top-200,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
SVM,Class-Weight,Top-200,0.5908248378127896,0.7106095098262102,0.7898869910167425,0.7461255098297059,0.9217090587932641
