Model,Subset_Accuracy,Hamming_Loss,Jaccard,Macro_F1,Micro_F1,Weighted_F1,ROC_AUC
Default (0.5),0.5523632993512512,0.1263206672845227,0.6554680259499537,0.7149776842151607,0.7421002838221381,0.7425960160497631,0.9149157989210014
Optimized Thresholds,0.5945319740500463,0.12502316960148285,0.7200339820821748,0.7312084988237341,0.764695621838479,0.7626547458755742,0.9149157989210014
