Class,Precision,Recall,F1-Score,Support
NORM,0.7926059513074842,0.9127725856697819,0.8484555984555985,963.0
MI,0.791578947368421,0.6911764705882353,0.7379784102060843,544.0
STTC,0.577922077922078,0.6267605633802817,0.6013513513513513,284.0
CD,0.7529411764705882,0.5224489795918368,0.6168674698795181,245.0
HYP,0.5208333333333334,0.4098360655737705,0.45871559633027525,122.0
