Metric,Default_0.5,Optimized,Improvement
Accuracy,0.5523632993512512,0.5885078776645042,0.03614457831325302
Macro_F1,0.7149776842151607,0.7321312652386786,0.017153581023517828
ROC_AUC,0.9149157989210014,0.9149157989210014,0.0
