Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Standard RF,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
BalancedRandomForest,0.6093605189990732,0.7366486382441433,0.7707646214963835,0.7528701999702723,0.9251600512199352
RF (n=500),0.5815569972196478,0.7154533379634787,0.7460413299447658,0.7295541724289463,0.915087203436876
