Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Baseline,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
Calibrated,0.592678405931418,0.7175758060188602,0.7475241000044839,0.7303572011462522,0.9149157989210014
10-Seed Ensemble,0.5991658943466173,0.7296099063899844,0.7462674543282082,0.7356146265543853,0.915617753372145
