Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Baseline,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
min_samples_leaf=5,0.5764596848934198,0.703172710984738,0.7682195141041943,0.7334348040632056,0.9146175892438462
min_samples_leaf=10,0.5912882298424467,0.7172720617136591,0.7506383783223737,0.7305728472479789,0.9141724408883309
max_features=sqrt,0.5885078776645042,0.7130369406097555,0.7560346492646366,0.7321312652386786,0.9149157989210014
max_features=log2,0.582483781278962,0.7134952856092276,0.7490556975993046,0.729770125322411,0.9130185348604363
