Experiment,Accuracy,Macro_F1,ROC_AUC
RF_Top50_ClassWeight,0.5319740500463392,0.6952798732308397,0.9038150683114307
RF_Top100_ClassWeight,0.5481927710843374,0.7116845040060185,0.9085912677169381
RF_Top200_ClassWeight,0.5523632993512512,0.7149776842151607,0.9149157989210014
RF_Top200_Ensemble,0.5708989805375347,0.692292229482243,0.9150969455259295
