Feature,Importance
T_AmpSpecial_V6,0.020368477087113576
T_Area_V6,0.01945086976933026
T+_Dur_V6,0.019166559363599518
T_Area_aVR,0.01889332539325371
T_Area_I,0.016878411178908988
T_Area_V5,0.0153382305479982
T_AmpSpecial_aVR,0.015257678141677236
QRS_Balance_II,0.01487785198880449
T_AmpSpecial_V5,0.01424840386694963
QRS_Dur_Global,0.013534031986383557
T+_Amp_V5,0.013043856566442021
R_AxisFrontal_Global,0.012271083875881083
T_Area_II,0.01205009886718037
T_AmpSpecial_II,0.011650476600545223
QRS_Area_II,0.011446652853358897
Q_Area_III,0.009402987454600862
R_Amp_II,0.009230878654188264
Q_Area_aVF,0.009182609646962837
T+_Amp_II,0.009166304116299153
Q_PeakTime_aVF,0.009153013587601358
S_Dur_II,0.008924177834295501
QRS_Area_V6,0.008774817270023246
T+_Dur_II,0.008733247232957184
QRS_Balance_aVR,0.008357025011513758
ST_AmpMax_V6,0.00820049978174374
R_Area_V2,0.00814838230070137
T_AmpSpecial_I,0.008144642744287911
QRS_Area_aVR,0.00784318763925684
QRS_Balance_V5,0.007663733081806715
Q_Amp_III,0.007569528478152626
Rp_Area_V1,0.0075294461405278745
ST_Amp18_V5,0.0074342302285019205
S_Area_II,0.007328823983031067
T+_Dur_I,0.007294478128841052
ST_Amp18_I,0.0068618264293840246
R_Amp_V2,0.006725944478311536
T_AmpSpecial_V4,0.006687180625531677
T_Morph_V6,0.0066224113237302075
R_Amp_V5,0.006385682185901693
T-_Dur_aVR,0.006328818644585543
QRS_Area_V1,0.006110341160440884
T+_Dur_V5,0.006026891511426723
T_Area_V4,0.005975672808315479
T+_Amp_V4,0.005934491121797013
QRS_Balance_V6,0.0058109897623428676
QRS_Area_V5,0.00578334065450221
ST_Amp116_V6,0.005753868230230859
T_Morph_I,0.005552675744714869
ST_AmpMin_V6,0.005496335873356854
S_Area_aVF,0.005462638811467697
R_Area_V6,0.0054598226594605405
ST_Amp18_aVR,0.005443001777380001
R_Area_V5,0.005417901753068627
QRS_Balance_aVF,0.005358814686389097
Rp_Dur_V1,0.005283899676672863
R_Area_V3,0.005251201343432014
R_Amp_V6,0.00521120825878964
R_Dur_V2,0.0050724370605497145
R_Area_II,0.005069932464414965
S_Dur_V1,0.004964750040472221
ST_Amp116_V5,0.00494648592681462
S_Area_V6,0.0048450122007166335
QRS_Off_Global,0.004808356709481292
QRS_AmpPP_V5,0.00465617038003804
S_Dur_V6,0.004607463343953295
Max_S_Amp_aVF,0.0045424380229567825
S_Dur_V2,0.004502694104428956
